session_id,cnt
11,1
34,1
40,1
41,1
44,1
53,1
56,1
79,1
87,1
98,1
104,1
132,1
145,1
158,1
170,1
171,1
172,1
181,1
193,1
196,1
200,1
203,1
206,1
207,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
224,1
225,1
231,1
242,1
247,1
253,1
257,1
258,1
261,1
262,1
265,1
266,1
292,1
302,1
306,1
333,1
336,1
347,1
359,1
366,1
377,1
378,1
382,1
384,1
387,1
391,1
392,1
393,1
394,1
395,1
396,1
400,1
402,1
408,1
409,1
483,1
491,1
494,1
500,1
501,1
502,1
505,1
507,1
508,1
509,1
510,1
529,1
534,1
535,1
537,1
538,1
541,1
542,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
563,1
568,1
570,1
581,1
582,1
584,1
589,1
593,1
595,1
596,1
598,1
606,1
608,1
610,1
612,1
614,1
616,1
619,1
621,1
625,1
629,1
632,1
655,1
656,1
662,1
666,1
668,1
669,1
670,1
677,1
688,1
689,1
696,1
698,1
704,1
715,1
724,1
725,1
734,1
736,1
737,1
738,1
740,1
742,1
750,1
770,1
773,1
774,1
775,1
778,1
795,1
796,1
816,1
828,1
830,1
835,1
838,1
839,1
855,1
868,1
878,1
882,1
922,1
924,1
926,1
934,1
936,1
949,1
957,1
966,1
971,1
976,1
985,1
989,1
997,1
1013,1
1014,1
1017,1
1022,1
1023,1
1043,1
1060,1
1061,1
1072,1
1073,1
1075,1
1079,1
1098,1
1100,1
1103,1
1110,1
1111,1
1112,1
1115,1
1118,1
1122,1
1125,1
1128,1
1129,1
1133,1
1134,1
1138,1
1148,1
1149,1
1155,1
1162,1
1233,1
1238,1
1245,1
1276,1
1280,1
1317,1
1325,1
1326,1
1329,1
1332,1
1342,1
1355,1
1410,1
1423,1
1424,1
1425,1
1427,1
1428,1
1432,1
1445,1
1448,1
1452,1
1458,1
1463,1
1465,1
1466,1
1482,1
1487,1
1515,1
1523,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1627,1
1637,1
1638,1
1641,1
1643,1
1644,1
1651,1
1659,1
1668,1
1674,1
1690,1
1695,1
1714,1
1732,1
1737,1
1738,1
1750,1
1754,1
1758,1
1759,1
1764,1
1784,1
1785,1
1787,1
1788,1
1790,1
1797,1
1803,1
1806,1
1809,1
1811,1
1815,1
1829,1
1846,1
1853,1
2004,1
2009,1
2011,1
2013,1
2016,1
2020,1
2042,1
2045,1
2053,1
2054,1
2055,1
2056,1
2059,1
2069,1
2074,1
2077,1
2081,1
2090,1
2092,1
2093,1
2094,1
2098,1
2099,1
2105,1
2109,1
2111,1
2112,1
2113,1
2115,1
2125,1
2129,1
2137,1
2160,1
2161,1
2168,1
2181,1
2196,1
2199,1
2207,1
2221,1
2344,1
2349,1
2350,1
2369,1
2372,1
2375,1
2489,1
2490,1
2491,1
2499,1
2508,1
2509,1
2521,1
2525,1
2526,1
2532,1
2533,1
2534,1
2542,1
2547,1
2556,1
2557,1
2559,1
2563,1
2569,1
2575,1
2576,1
2579,1
2584,1
2603,1
2615,1
2616,1
2625,1
2631,1
2635,1
2636,1
2637,1
2639,1
2641,1
2642,1
2644,1
2645,1
2649,1
2652,1
2654,1
2656,1
2657,1
2659,1
2665,1
2666,1
2668,1
2669,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,1
2682,1
2683,1
2684,1
2685,1
2686,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2696,1
2702,1
2704,1
2706,1
2707,1
2708,1
2709,1
2710,1
2712,1
2714,1
2716,1
2720,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2731,1
2733,1
2734,1
2736,1
2740,1
2741,1
2743,1
2745,1
2746,1
2750,1
2751,1
2752,1
2758,1
2760,1
2762,1
2765,1
2766,1
2768,1
2770,1
2771,1
2773,1
2788,1
2790,1
2794,1
2797,1
2805,1
2812,1
2814,1
2817,1
2821,1
2823,1
2825,1
2826,1
2827,1
2829,1
2835,1
2837,1
2838,1
2839,1
2847,1
2848,1
2852,1
2855,1
2856,1
2858,1
3001,1
3011,1
3023,1
3024,1
3029,1
3091,1
3094,1
3104,1
3106,1
3108,1
3110,1
3116,1
3125,1
3127,1
3129,1
3138,1
3226,1
3228,1
3251,1
3257,1
3261,1
3265,1
3274,1
3283,1
3360,1
3369,1
3375,1
3377,1
3391,1
3404,1
3406,1
3420,1
3426,1
3427,1
3428,1
3433,1
3436,1
3651,1
3652,1
3658,1
3659,1
3664,1
3671,1
3672,1
3678,1
3717,1
3718,1
3729,1
3733,1
3770,1
4062,1
4063,1
4071,1
4072,1
4074,1
4075,1
4078,1
4085,1
4090,1
4102,1
4103,1
4108,1
4115,1
4121,1
4127,1
4133,1
4203,1
4206,1
4207,1
4229,1
4233,1
4258,1
4328,1
4330,1
4331,1
4335,1
38,2
42,2
43,2
49,2
73,2
82,2
92,2
93,2
103,2
105,2
122,2
161,2
176,2
178,2
182,2
183,2
205,2
226,2
227,2
241,2
244,2
248,2
250,2
252,2
255,2
256,2
271,2
282,2
283,2
290,2
293,2
294,2
319,2
321,2
331,2
341,2
348,2
354,2
355,2
365,2
397,2
405,2
410,2
415,2
416,2
523,2
543,2
556,2
557,2
559,2
564,2
569,2
575,2
576,2
577,2
592,2
599,2
601,2
602,2
604,2
615,2
618,2
620,2
644,2
661,2
674,2
683,2
703,2
714,2
720,2
726,2
731,2
745,2
751,2
752,2
766,2
781,2
789,2
790,2
794,2
799,2
801,2
807,2
811,2
827,2
832,2
833,2
836,2
842,2
854,2
864,2
874,2
912,2
